#3 brick #2 box

2,442,160
3,2686,160
3,2720,160
3,2754,160
3,2788,160
3,2822,160
3,2856,160
3,2890,160
3,2924,160
3,2958,160
3,2992,160
3,3094,160
3,3128,160
3,3162,160
2,3196,160
2,3740,160
3,4148,160
3,4182,160
3,4216,160
3,4250,160
3,4284,160
3,4318,160
3,4420,160
2,4454,160
2,4488,160
3,4522,160
2,272,320
3,374,320
2,408,320
3,442,320
2,476,320
3,510,320
3,2584,320
2,2618,320
3,2652,320
3,3162,320
3,3366,320
3,3400,320
3,3434,320
2,3638,320
2,3740,320
2,3842,320
3,4080,320
3,4454,320
3,4488,320
3,5644,360
3,5678,360
2,5712,360
3,5746,360
